[1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000]
[1.051271,1.051271,1.051271,1.051271,1.051271,1.051271,1.051271,1.051271,1.051271,1.051271]
[1.105171,1.105171,1.105171,1.105171,1.105171,1.105171,1.105171,1.105171,1.105171,1.105171]
[1.161834,1.161834,1.161834,1.161834,1.161834,1.161834,1.161834,1.161834,1.161834,1.161834]
[1.221403,1.221403,1.221403,1.221403,1.221403,1.221403,1.221403,1.221403,1.221403,1.221403]
[1.284025,1.284025,1.284025,1.284025,1.284025,1.284025,1.284025,1.284025,1.284025,1.284025]
[1.349859,1.349859,1.349859,1.349859,1.349859,1.349859,1.349859,1.349859,1.349859,1.349859]
[1.419068,1.419068,1.419068,1.419068,1.419068,1.419068,1.419068,1.419068,1.419068,1.419068]
[1.491825,1.491825,1.491825,1.491825,1.491825,1.491825,1.491825,1.491825,1.491825,1.491825]
[1.568312,1.568312,1.568312,1.568312,1.568312,1.568312,1.568312,1.568312,1.568312,1.568312]
[1.648721,1.648721,1.648721,1.648721,1.648721,1.648721,1.648721,1.648721,1.648721,1.648721]
[1.733253,1.733253,1.733253,1.733253,1.733253,1.733253,1.733253,1.733253,1.733253,1.733253]
[1.822119,1.822119,1.822119,1.822119,1.822119,1.822119,1.822119,1.822119,1.822119,1.822119]
[1.107297,0.808244,1.915541,1.915541,1.915541,1.915541,1.915541,1.915541,1.915541,0.000000]
[1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000]
[1.051271,1.051271,1.051271,1.051271,1.051271,1.051271,1.051271]
[1.105171,1.105171,1.105171,1.105171,1.105171,1.105171,1.105171]
[1.161834,1.161834,1.161834,1.161834,1.161834,1.161834,1.161834]
[1.221403,1.221403,1.221403,1.221403,1.221403,1.221403,1.221403]
[1.284025,1.284025,1.284025,1.284025,1.284025,1.284025,1.284025]
[1.349859,1.349859,1.349859,1.349859,1.349859,1.349859,1.349859]
[1.419068,1.419068,1.419068,1.419068,1.419068,1.419068,1.419068]
[1.491825,1.491825,1.491825,1.491825,1.491825,1.491825,1.491825]
[1.568312,1.568312,1.568312,1.568312,1.568312,1.568312,1.568312]
[1.648721,1.648721,1.648721,1.648721,1.648721,1.648721,1.648721]
[1.733253,1.733253,1.733253,1.733253,1.733253,1.733253,1.733253]
[1.822119,1.822119,1.822119,1.822119,1.822119,1.822119,1.822119]
[1.915541,1.915541,1.915541,1.915541,1.915541,1.915541,1.915541]
[2.013753,2.013753,2.013753,2.013753,2.013753,2.013753,2.013753]
[2.117000,2.117000,2.117000,2.117000,2.117000,2.117000,2.117000]
[2.225541,2.225541,2.225541,2.225541,2.225541,2.225541,2.225541]
[2.339647,2.339647,2.339647,2.339647,2.339647,2.339647,2.339647]
[2.459603,2.459603,2.459603,2.459603,2.459603,2.459603,2.459603]
